artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
Donnie Brooks,Pop music,1936,2007,71,1936-02-06,1936-02-06,1936-02-06,2007-02-23,2007-02-23,2007-02-23
Donnie Elbert,Soul music,1936,1989,53,1936-05-25,Louisiana,1936-05-25,1989-01-26,1989-01-26,Pennsylvania
Donny Hathaway,Chicago soul,1945,1979,34,1945-10-01,"Chicago, Illinois, U.S.",1945-10-01,1979-01-13,1979-01-13,1979-01-13
Don Partridge,Folk music,1941,2010,69,1941-10-27,"Bournemouth, Hampshire , England",27,2010-09-21,21,2010-09-21
Don Raffell,Big band,1919,2003,84,1919-04-26,1919-04-26,1919,2003-03-24,2003,2003-03-24
Don Redman,Jazz,1900,1964,64,1900-07-29,1900-07-29,1900-07-29,1964-11-30,1964-11-30,1964-11-30
Don Reno,Bluegrass music,1927,1984,57,1927-02-21,1927-02-21,1927-02-21,1984-10-16,1984-10-16,1984-10-16
Don Sugarcane Harris,Rock and roll,1938,1999,61,1938-06-18,1938-06-18,1938-06-18,1999-11-30,1999-11-30,1999-11-30
Don Walser,Country music,1934,2006,72,1934-09-14,1934-09-14,1934-09-14,2006-09-20,2006-09-20,2006-09-20
Dootsie Williams,Comedy,1911,1991,80,1911-06-17,1911-06-17,1911-06-17,1991-08-21,1991-08-21,1991-08-21
Doris Akers,Gospel music,1923,1995,72,1923-05-21,1923-05-21,1923-05-21,1995-07-26,1995-07-26,1995-07-26
Doris Troy,Rhythm and blues,1937,2004,67,1937-01-06,1937-01-06,1937-01-06,2004-02-16,2004-02-16,2004-02-16
Dorival Caymmi,Bossa nova,1914,2008,94,1914-04-30,1914-04-30,1914,2008-08-16,2008,2008-08-16
Dorothy LaBostrie,Songwriter,1928,2007,79,1928-05-18,,18,2007-11-04,4,
Dorothy Love Coates,Gospel music,1928,2002,74,1928-01-30,1928-01-30,1928-01-30,2002-04-09,2002-04-09,2002-04-09
Dorothy Shay,Novelty song,1921,1978,57,1921-04-21,1921-04-21,1921-04-21,1978-10-22,1978-10-22,1978-10-22
Dorothy Squires,Traditional pop music,1915,1998,83,1915-03-25,1915-03-25,25,1998-04-14,14,1998-04-14
Dorsey Burnette,Rockabilly,1932,1979,47,1932-12-28,1932-12-28,1932-12-28,1979-08-19,1979-08-19,1979-08-19
Dorsey Dixon,Country music,1897,1968,71,1897-10-14,1897-10-14,1897,1968-04-18,1968,1968-04-18
Dottie Rambo,Christian music,1934,2008,74,1934-03-02,1934-03-02,1934-03-02,2008-05-11,2008-05-11,2008-05-11
Dottie West,Country pop,1932,1991,59,1932-10-11,1932-10-11,1932-10-11,1991-09-04,1991-09-04,1991-09-04
Doug Fieger,Rock music,1952,2010,58,1952-08-20,1952-08-20,1952,2010-02-14,2010,2010-02-14
Doug Harrington,Groove Metal,1966,2006,40,1966-10-01,1966-10-01,1966,,2006,late 2006
Doug Hopkins,Pop rock,1961,1993,32,1961-04-11,1961-04-11,1961-04-11,1993-12-05,1993-12-05,1993-12-05
Douglas Killmer,Rock and roll,1947,2005,58,1947-07-18,1947-07-18,1947-07-18,2005-08-29,2005-08-29,
Doug Oldham,Christian music,1930,2010,80,1930-11-30,1930-11-30,1930,2010-07-21,2010,2010-07-21
Doyle Bramhall,Blues (music),1949,2011,62,1949-02-17,1949-02-17,1949-02-17,2011-11-12,2011-11-12,2011-11-12
Doyle Holly,Bakersfield Sound,1936,2007,71,1936-06-30,1936-06-30,1936-06-30,2007-01-13,2007-01-13,2007-01-13
Dr. Oloh,Jazz,1944,2007,63,1944-03-20,1944-03-20,1944-03-20,2007-10-13,2007-10-13,
Duane Allman,Blues-rock,1946,1971,25,1946-11-20,1946-11-20,1946-11-20,1971-10-29,1971-10-29,1971-10-29
Duane Roland,Hard rock,1953,2006,53,1953-12-03,1953-12-03,1953-12-03,2006-06-19,2006-06-19,2006-06-19
Duke Ellington,Swing music,1899,1974,75,1899-04-29,1899-04-29,1899-04-29,1974-05-24,1974-05-24,1974-05-24
Duke Pearson,Jazz pop,1932,1980,48,1932-08-17,United_States,1932-08-17,1980-08-04,1980-08-04,1980-08-04
Dušan Prelević,Soul music,1948,2007,59,1948-11-11,1948-11-11,1948-11-11,2007-07-28,2007-07-28,2007-07-28
Duster Bennett,British blues,1946,1976,30,1946-09-23,1946-09-23,23,1976-03-26,26,1976-03-26
Dusty Hill,Blues,1949,2011,62,1949-05-19,1949-05-19,1949-05-19,2011-06-25,2011-06-25,
Dusty Springfield,Pop music,1939,1999,60,1939-04-16,1939-04-16,1939,1999-03-02,1999,1999-03-02
Dutch Mason,Blues,1938,2006,68,1938-02-19,1938-02-19,19,2006-12-23,2006-12-23,2006-12-23
Dutch Tilders,Blues music,1941,2011,70,1941-08-29,1941-08-29,29,2011-04-23,23,2011-04-23
Dwaram Bhavanarayana Rao,Carnatic music,1924,2000,76,1924-06-15,15,1924-06-15,2000-07-24,24,24
Dwaram Venkataswamy Naidu,Hindustani classical music,1893,1964,71,1893-11-08,1893-11-08,8,1964-11-25,1964-11-25,
Dwayne Goettel,Industrial music,1964,1995,31,1964-02-01,1964-02-01,1964-02-01,1995-08-23,1995-08-23,1995-08-23
Ean Evans,Southern rock,1960,2009,49,1960-09-16,1960-09-16,1960-09-16,,2009-05-06,2009-05-06
Earl Bostic,Jazz,1913,1965,52,1913-04-25,1913-04-25,1913-04-25,1965-10-28,1965-10-28,1965-10-28
Earl Gaines,Electric blues,1935,2009,74,1935-08-19,1935-08-19,1935-08-19,2009-12-31,2009-12-31,2009-12-31
Earl Hooker,Blues,1929,1970,41,1929-01-15,1929-01-15,1929-01-15,1970-04-21,1970-04-21,1970-04-21
Earl King,Blues,1934,2003,69,1934-02-07,1934-02-07,1934-02-07,2003-04-17,2003-04-17,2003-04-17
Earl Scruggs,Country Music,1924,2012,88,1924-01-06,1924-01-06,1924-01-06,2012-03-28,2012-03-28,2012-03-28
Early B,Dancehall,1957,1994,37,1957-02-28,1957-02-28,1957-02-28,1994-09-11,1994-09-11,1994-09-11
Earl Zindars,Classical music,1927,2005,78,1927-09-25,1927-09-25,1927-09-25,2005-08-15,2005-08-15,2005-08-15
